Type de formation,Nom de la région,P-code de la région,Nom de la préfecture,P-code de la préfecture,Nom de la sous-préfecture,P-code de la sous-préfecture,Total des établissements,Établissements formées
#output+type,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm3+name,#adm3+code,#inneed,#reached
PCI Ebola,Kankan,GIN004,Kerouane,GIN004002,Sibiribaro,GIN00400207,3,1
PCI Ebola,Kankan,GIN004,Kerouane,GIN004002,Soromaya,GIN00400208,6,4
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Babila,GIN00400301,1,0
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Balato,GIN00400302,1,0
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Banfele,GIN00400303,3,0
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Baro,GIN00400304,1,0
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Cissela,GIN00400305,1,0
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Douako,GIN00400306,2,0
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Doura,GIN00400307,2,0
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Kiniero,GIN00400308,1,0
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Koumana,GIN00400310,1,0
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Kouroussa Ctre,GIN00400311,2,0
PCI Ebola,Kankan,GIN004,Kouroussa,GIN004003,Sanguiana,GIN00400312,1,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Balandougouba,GIN00400401,6,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Dialokoro,GIN00400402,10,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Faralako,GIN00400403,2,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Kantoumanina,GIN00400404,3,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Kinieran,GIN00400405,2,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Koundian,GIN00400406,4,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Koundianakoro,GIN00400407,3,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Mandiana Ctre,GIN00400408,5,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Morodou,GIN00400409,3,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Niantanina,GIN00400410,1,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Saladou,GIN00400411,3,0
PCI Ebola,Kankan,GIN004,Mandiana,GIN004004,Sansando,GIN00400412,3,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Bankon,GIN00400501,1,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Doko,GIN00400502,12,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Franwalia,GIN00400503,3,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Kiniebakoura,GIN00400504,3,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Kintinian,GIN00400505,9,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Malea,GIN00400506,7,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Naboun,GIN00400507,2,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Niagassola,GIN00400508,6,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Niandankoro,GIN00400509,1,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Norassoba,GIN00400510,5,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Siguiri Ctre,GIN00400511,7,0
PCI Ebola,Kankan,GIN004,Siguiri,GIN004005,Siguirini,GIN00400512,2,0
PCI Ebola,Kindia,GIN005,Coyah,GIN005001,Coyah Ctre,GIN00500101,7,5
PCI Ebola,Kindia,GIN005,Coyah,GIN005001,Kouria,GIN00500102,5,4
PCI Ebola,Kindia,GIN005,Coyah,GIN005001,Maneah,GIN00500103,6,1
PCI Ebola,Kindia,GIN005,Coyah,GIN005001,Wonkifong,GIN00500104,11,10
PCI Ebola,Kindia,GIN005,Dubreka,GIN005002,Badi,GIN00500201,3,2
PCI Ebola,Kindia,GIN005,Dubreka,GIN005002,Dubreka Ctre,GIN00500202,9,7
PCI Ebola,Kindia,GIN005,Dubreka,GIN005002,Falessade,GIN00500203,2,2
PCI Ebola,Kindia,GIN005,Dubreka,GIN005002,Khorira,GIN00500204,3,3
PCI Ebola,Kindia,GIN005,Dubreka,GIN005002,Ouassou,GIN00500205,5,5
PCI Ebola,Kindia,GIN005,Dubreka,GIN005002,Tanene,GIN00500208,6,5
PCI Ebola,Kindia,GIN005,Dubreka,GIN005002,Tondon,GIN00500207,3,1
PCI Ebola,Kindia,GIN005,Forecariah,GIN005003,Allassoyah,GIN00500301,7,2
PCI Ebola,Kindia,GIN005,Forecariah,GIN005003,Benty,GIN00500302,17,9
PCI Ebola,Kindia,GIN005,Forecariah,GIN005003,Farmoriah,GIN00500303,12,7
PCI Ebola,Kindia,GIN005,Forecariah,GIN005003,Forecariah Ctre,GIN00500304,8,5
PCI Ebola,Kindia,GIN005,Forecariah,GIN005003,Kaback,GIN00500305,9,5
PCI Ebola,Kindia,GIN005,Forecariah,GIN005003,Kakossa,GIN00500306,9,4
PCI Ebola,Kindia,GIN005,Forecariah,GIN005003,Kaliah,GIN00500307,8,1
PCI Ebola,Kindia,GIN005,Forecariah,GIN005003,Maferinya,GIN00500308,15,6
PCI Ebola,Kindia,GIN005,Forecariah,GIN005003,Moussayah,GIN00500309,11,5
PCI Ebola,Kindia,GIN005,Forecariah,GIN005003,Sikhourou,GIN00500310,10,6
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Bangouya,GIN00500401,9,5
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Damakania,GIN00500402,2,2
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Friguiagbe,GIN00500403,7,3
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Kindia Ctre,GIN00500404,33,15
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Kolente,GIN00500405,8,4
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Madina Oula,GIN00500406,6,7
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Madina oula,GIN00500406,5,7
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Mambia,GIN00500407,6,2
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Molota,GIN00500408,5,4
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Samaya,GIN00500409,6,4
PCI Ebola,Kindia,GIN005,Kindia,GIN005004,Sougueta,GIN00500410,8,3
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Bourouwal,GIN00500501,3,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Daramagnaky,GIN00500502,4,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Gougoudje,GIN00500503,4,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Koba,GIN00500504,1,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Kollet,GIN00500505,5,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Konsotami,GIN00500506,1,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Missira,GIN00500507,1,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Santou,GIN00500508,2,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Sarekali,GIN00500509,2,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Sinta,GIN00500510,3,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Sogolon,GIN00500511,1,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Tarihoye,GIN00500512,3,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Telemele Ctre,GIN00500513,5,0
PCI Ebola,Kindia,GIN005,Telimele,GIN005005,Thionthian,GIN00500514,3,0
PCI Ebola,Labe,GIN006,Koubia,GIN006001,Fafaya,GIN00600101,5,0
PCI Ebola,Labe,GIN006,Koubia,GIN006001,Gadha Woundou,GIN00600102,1,0
PCI Ebola,Labe,GIN006,Koubia,GIN006001,Koubia Ctre,GIN00600103,6,0
