Subprefecture name,Subprefecture p-code,Prefecture name,Prefecture p-code,Region name,Region p-code
Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005
Kokota,GIN00800305,Lola,GIN008003,Nzerekore,GIN008
Kindoye,GIN00300107,Dabola,GIN003001,Faranah,GIN003
Kiniebakoura,GIN00400504,Siguiri,GIN004005,Kankan,GIN004
Kinieran,GIN00400405,Mandiana,GIN004004,Kankan,GIN004
Kiniero,GIN00400308,Kouroussa,GIN004003,Kankan,GIN004
Kobela,GIN00800503,Nzerekore,GIN008005,Nzerekore,GIN008
Kolaboui,GIN00100206,Boke,GIN001002,Boke,GIN001
Kolangui,GIN00600505,Tougue,GIN006005,Labe,GIN006
Kintinian,GIN00400505,Siguiri,GIN004005,Kankan,GIN004
Kissidougou Ctre,GIN00300408,Kissidougou,GIN003004,Faranah,GIN003
Koba,GIN00700107,Dalaba,GIN007001,Mamou,GIN007
Koba Tatema,GIN00100103,Boffa,GIN001001,Boke,GIN001
Kobikoro,GIN00300306,Faranah,GIN003003,Faranah,GIN003
Koin,GIN00600504,Tougue,GIN006005,Labe,GIN006
Kolente,GIN00500405,Kindia,GIN005004,Kindia,GIN005
Kolia,GIN00100104,Boffa,GIN001001,Boke,GIN001
Kolet,GIN00600506,Tougue,GIN006005,Labe,GIN006
Komodou,GIN00400204,Kerouane,GIN004002,Kankan,GIN004
Konsankoro,GIN00400205,Kerouane,GIN004002,Kankan,GIN004
Korbe,GIN00600304,Lelouma,GIN006003,Labe,GIN006
Komola Khoura,GIN00400309,Kouroussa,GIN004003,Kankan,GIN004
Konah,GIN00600507,Tougue,GIN006005,Labe,GIN006
Kondiadou,GIN00300409,Kissidougou,GIN003004,Faranah,GIN003
Konendou,GIN00300108,Dabola,GIN003001,Faranah,GIN003
Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006
Koropara,GIN00800504,Nzerekore,GIN008005,Nzerekore,GIN008
Kouankan,GIN00800406,Macenta,GIN008004,Nzerekore,GIN008
Koubia Ctre,GIN00600103,Koubia,GIN006001,Labe,GIN006
Koule,GIN00800505,Nzerekore,GIN008005,Nzerekore,GIN008
Koumana,GIN00400310,Kouroussa,GIN004003,Kankan,GIN004
Lafou,GIN00600305,Lelouma,GIN006003,Labe,GIN006
Laine,GIN00800306,Lola,GIN008003,Nzerekore,GIN008
Koumandou,GIN00800109,Beyla,GIN008001,Nzerekore,GIN008
Koundou,GIN00800206,Gueckedou,GIN008002,Nzerekore,GIN008
Koumban,GIN00400107,Kankan,GIN004001,Kankan,GIN004
Lansanaya,GIN00300207,Dinguiraye,GIN003002,Faranah,GIN003
Lebekeren,GIN00600407,Mali,GIN006004,Labe,GIN006
Koumbia,GIN00100304,Gaoual,GIN001003,Boke,GIN001
Koundara Ctre,GIN00100403,Koundara,GIN001004,Boke,GIN001
Koundian,GIN00400406,Mandiana,GIN004004,Kankan,GIN004
Koundianakoro,GIN00400407,Mandiana,GIN004004,Kankan,GIN004
Maneah,GIN00500103,Coyah,GIN005001,Kindia,GIN005
Kounkoure,GIN00700205,Mamou,GIN007002,Mamou,GIN007
Lelouma Ctre,GIN00600306,Lelouma,GIN006003,Labe,GIN006
Ley Miro,GIN00700305,Pita,GIN007003,Mamou,GIN007
Kounsitel,GIN00100305,Gaoual,GIN001003,Boke,GIN001
Kouramangui,GIN00600208,Labe,GIN006002,Labe,GIN006
Kouratongo,GIN00600508,Tougue,GIN006005,Labe,GIN006
