Région,Préfecture,Sous-préfecture,Nom de l'Établissement,Nombre total de personnes ,Public ou privé?,Partenaire responsable de la formation,Date de la formation,Durée de la formation (jours),Type de formation,Nombre de personnes formées
#adm1+name,#adm2+name,#adm3+name,#loc+name,#inneed+training,#status+sector,#org+code,#date,#output+duration,#output+type,#reached+trained
Kindia,Kindia,Damakania,CSR Damakania,,public,Jhpiego,2015-05-31,,PCI Ebola,
Kindia,Kindia,Damakania,LTO Damakania,,public,Jhpiego,2015-05-31,,PCI Ebola,
Kindia,Kindia,Friguiagbe,CSR Friguiagbe,,public,Jhpiego,2015-05-24,,PCI Ebola,
Kindia,Kindia,Friguiagbe,PS Friguiagbe,,public,Jhpiego,2015-05-24,,PCI Ebola,
Kindia,Kindia,Kindia Ctre,CSU Bibane,,public,Jhpiego,2015-05-31,,PCI Ebola,
Kindia,Kindia,Kindia Ctre,CSU Cacia,,public,Jhpiego,2015-05-24,,PCI Ebola,
Kindia,Kindia,Kindia Ctre,CSU Manquepas,,public,Jhpiego,2015-05-31,,PCI Ebola,
Kindia,Kindia,Kindia Ctre,CSU Wondy,,public,Jhpiego,2015-05-31,,PCI Ebola,
Kindia,Kindia,Kindia Ctre,DPS Kinida,,public,Jhpiego,2015-05-31,,PCI Ebola,
Kindia,Kindia,Kindia Ctre,DRS Kindia,,public,Jhpiego,2015-05-17,,PCI Ebola,
Kindia,Kindia,Kindia Ctre,Ecole National de sante de Kindia,,public,Jhpiego,2015-05-01,,PCI Ebola,
Kindia,Kindia,Kindia Ctre,Hopital regional Kindia,,public,Jhpiego,2015-05-31,,PCI Ebola,
Kindia,Kindia,Kindia Ctre,PS/Wondy,,public,Jhpiego,2015-05-17,,PCI Ebola,
Kindia,Kindia,Kolente,CSR Kolente,,public,Jhpiego,2015-05-24,,PCI Ebola,
Kindia,Kindia,Kolente,PS/Kolente,,public,Jhpiego,2015-05-17,,PCI Ebola,
